guest_key,guest_id,full_name,nationality,lifetime_bookings,lifetime_spend,first_stay_date,last_stay_date
33462606499639,33462606499639,,SWE,26,12381.36,2015-09-03,2017-08-25
367498074400560,367498074400560,,MLT,1,149.0,2016-05-23,2016-05-23
2550382528836049,2550382528836049,,HRV,3,1475.2,2016-11-06,2017-05-08
3662561249748501,3662561249748501,,AUS,3,1661.1000000000001,2016-07-06,2016-12-22
4738919840616113,4738919840616113,,BRA,1,274.0,2015-10-17,2015-10-17
4890826837042269,4890826837042269,,PRT,2,222.0,2017-03-07,2017-05-09
8502163542219528,8502163542219528,,GBR,21,3191.07,2017-01-27,2017-03-31
9432848556123910,9432848556123910,,SVN,1,213.0,2016-01-19,2016-01-19
10069253381065949,10069253381065949,,GBR,1,198.0,2017-04-08,2017-04-08
10655955749886320,10655955749886320,,BEL,1,990.0,2016-07-04,2016-07-04
10777999542458815,10777999542458815,,HRV,1,440.0,2016-06-06,2016-06-06
17446339418682378,17446339418682378,,PRT,3,155.0,2016-04-28,2017-03-15
17695008877975218,17695008877975218,,FRA,1,0.0,2016-10-12,2016-10-12
19310969346944012,19310969346944012,,ESP,4,493.0,2015-08-20,2016-05-26
21382989519447312,21382989519447312,,GBR,1,143.2,2015-10-07,2015-10-07
21716011021484340,21716011021484340,,SWE,26,11232.98,2015-09-12,2017-08-31
23871761548815633,23871761548815633,,AUS,1,289.0,2016-02-26,2016-02-26
25275618476176466,25275618476176466,,ESP,1,88.0,2017-02-21,2017-02-21
30757570777101393,30757570777101393,,PRT,1,0.0,2016-02-27,2016-02-27
32955388501663537,32955388501663537,,DEU,1,603.0,2015-10-07,2015-10-07
33632318967968995,33632318967968995,,SWE,1,150.0,2015-08-10,2015-08-10
34105693611092030,34105693611092030,,PRT,1,150.0,2017-05-31,2017-05-31
34348607839468186,34348607839468186,,PRT,1,140.0,2016-11-14,2016-11-14
38220982339502510,38220982339502510,,ESP,1,95.0,2015-10-27,2015-10-27
39310503420181420,39310503420181420,,PRT,10,1532.0,2016-09-24,2017-05-25
41242162411530679,41242162411530679,,ESP,1,130.0,2016-04-09,2016-04-09
41267231849232263,41267231849232263,,PRT,1,0.0,2016-12-12,2016-12-12
42755825948556392,42755825948556392,,ESP,4,532.8,2015-12-05,2015-12-05
43235295580230855,43235295580230855,,IRL,30,11629.69,2015-09-04,2017-08-04
50368613133655361,50368613133655361,,NLD,5,975.0,2016-11-20,2016-11-21
52769585650326165,52769585650326165,,GBR,11,895.9,2016-10-11,2017-03-18
52926793556137356,52926793556137356,,GBR,73,29604.48,2015-10-06,2016-10-14
53253591759457526,53253591759457526,,PRT,6,2144.0,2015-09-12,2016-09-26
58580033589221531,58580033589221531,,IND,1,81.9,2015-11-19,2015-11-19
58744099017342001,58744099017342001,,CYP,1,240.29999999999998,2017-08-01,2017-08-01
59141321614884109,59141321614884109,,PER,12,4754.46,2016-05-24,2017-06-16
60956604571011125,60956604571011125,,ZAF,2,175.26,2016-12-06,2017-04-28
62762891307838199,62762891307838199,,DEU,1,286.79999999999995,2017-07-24,2017-07-24
63377440448233941,63377440448233941,,PRT,1,444.0,2015-09-20,2015-09-20
63864614438593592,63864614438593592,,ITA,1,325.59000000000003,2017-01-10,2017-01-10
64956878097543299,64956878097543299,,GBR,119,57506.06,2016-03-27,2017-08-29
67804422143833493,67804422143833493,,ITA,1,252.0,2017-06-14,2017-06-14
68186249102446946,68186249102446946,,UNK,1,108.0,2016-05-30,2016-05-30
68880430079372090,68880430079372090,,LUX,2,248.0,2016-10-20,2017-03-16
71758759210846191,71758759210846191,,ESP,1,68.8,2016-10-05,2016-10-05
74984843229836902,74984843229836902,,IRN,31,18052.18,2015-09-02,2017-07-31
75777026090401418,75777026090401418,,ESP,3,460.8,2015-11-30,2015-12-06
76630078270491846,76630078270491846,,SWE,24,5769.2,2015-11-16,2017-07-25
78667863757884615,78667863757884615,,PRT,1,332.5,2016-09-26,2016-09-26
79349502441343084,79349502441343084,,FRA,7,2908.39,2015-11-10,2017-04-05
81643591065142094,81643591065142094,,LVA,1,194.0,2015-08-19,2015-08-19
82451033777757755,82451033777757755,,PRT,3,439.0,2017-01-16,2017-05-08
83767105815853815,83767105815853815,,COL,2,726.0,2015-08-13,2015-10-16
