branch_id,date,total_orders,items_sold,avg_order_value,total_revenue,breakfast_revenue,lunch_revenue,dinner_revenue,revenue_7day_avg
1,2026-05-06,120,146,31.6,3792.0,1137.6,1327.2,1327.2,3792.0
1,2026-05-07,144,188,23.96,3450.24,1035.07,1207.58,1207.58,3450.24
1,2026-05-08,158,212,27.07,4277.06,1283.12,1496.97,1496.97,4277.06
1,2026-05-09,178,287,19.43,3458.54,1037.56,1210.49,1210.49,3458.54
1,2026-05-10,126,219,19.86,2502.36,750.71,875.83,875.83,2502.36
1,2026-05-11,193,251,25.45,4911.85,1473.56,1719.15,1719.15,4911.85
1,2026-05-12,135,199,32.47,4383.45,1315.04,1534.21,1534.21,4383.45
1,2026-05-13,151,238,22.89,3456.39,1036.92,1209.74,1209.74,3456.39
1,2026-05-14,172,293,21.19,3644.68,1093.4,1275.64,1275.64,3644.68
1,2026-05-15,184,318,24.62,4530.08,1359.02,1585.53,1585.53,4530.08
1,2026-05-16,211,313,17.3,3650.3,1095.09,1277.6,1277.6,3650.3
1,2026-05-17,159,207,25.55,4062.45,1218.73,1421.86,1421.86,4062.45
1,2026-05-18,215,283,29.25,6288.75,1886.62,2201.06,2201.06,6288.75
1,2026-05-19,206,326,24.49,5044.94,1513.48,1765.73,1765.73,5044.94
1,2026-05-20,175,263,30.83,5395.25,1618.58,1888.34,1888.34,5395.25
1,2026-05-21,128,158,19.08,2442.24,732.67,854.78,854.78,2442.24
1,2026-05-22,179,317,29.76,5327.04,1598.11,1864.46,1864.46,5327.04
1,2026-05-23,204,326,31.49,6423.96,1927.19,2248.39,2248.39,6423.96
1,2026-05-24,164,277,29.44,4828.16,1448.45,1689.86,1689.86,4828.16
1,2026-05-25,136,194,30.09,4092.24,1227.67,1432.28,1432.28,4092.24
1,2026-05-26,129,192,31.69,4088.01,1226.4,1430.8,1430.8,4088.01
1,2026-05-27,197,277,15.95,3142.15,942.64,1099.75,1099.75,3142.15
1,2026-05-28,124,163,24.29,3011.96,903.59,1054.19,1054.19,3011.96
1,2026-05-29,156,273,26.55,4141.8,1242.54,1449.63,1449.63,4141.8
1,2026-05-30,128,220,22.37,2863.36,859.01,1002.18,1002.18,2863.36
1,2026-05-31,140,215,23.77,3327.8,998.34,1164.73,1164.73,3327.8
1,2026-06-01,191,268,33.77,6450.07,1935.02,2257.52,2257.52,6450.07
1,2026-06-02,137,188,15.58,2134.46,640.34,747.06,747.06,2134.46
1,2026-06-03,166,212,34.86,5786.76,1736.03,2025.37,2025.37,5786.76
1,2026-06-04,188,305,32.64,6136.32,1840.9,2147.71,2147.71,6136.32
1,2026-06-05,129,158,18.16,2342.64,702.79,819.92,819.92,2342.64
1,2026-06-06,117,183,24.31,2844.27,853.28,995.49,995.49,2844.27
1,2026-06-07,159,263,31.45,5000.55,1500.16,1750.19,1750.19,5000.55
1,2026-06-08,148,178,21.81,3227.88,968.36,1129.76,1129.76,3227.88
1,2026-06-09,139,219,26.3,3655.7,1096.71,1279.49,1279.49,3655.7
1,2026-06-10,125,197,22.71,2838.75,851.62,993.56,993.56,2838.75
1,2026-06-11,174,218,33.43,5816.82,1745.05,2035.89,2035.89,5816.82
1,2026-06-12,152,248,22.98,3492.96,1047.89,1222.54,1222.54,3492.96
1,2026-06-13,156,207,23.99,3742.44,1122.73,1309.85,1309.85,3742.44
1,2026-06-14,126,185,23.65,2979.9,893.97,1042.96,1042.96,2979.9
1,2026-06-15,188,256,25.59,4810.92,1443.28,1683.82,1683.82,4810.92
1,2026-06-16,134,169,33.55,4495.7,1348.71,1573.5,1573.5,4495.7
1,2026-06-17,179,299,26.9,4815.1,1444.53,1685.28,1685.28,4815.1
1,2026-06-18,188,302,15.37,2889.56,866.87,1011.35,1011.35,2889.56
1,2026-06-19,135,226,26.54,3582.9,1074.87,1254.01,1254.01,3582.9
1,2026-06-20,203,298,16.03,3254.09,976.23,1138.93,1138.93,3254.09
1,2026-06-21,194,265,19.7,3821.8,1146.54,1337.63,1337.63,3821.8
1,2026-06-22,171,276,33.8,5779.8,1733.94,2022.93,2022.93,5779.8
1,2026-06-23,180,255,15.19,2734.2,820.26,956.97,956.97,2734.2
1,2026-06-24,148,239,34.67,5131.16,1539.35,1795.91,1795.91,5131.16
1,2026-06-25,189,242,17.67,3339.63,1001.89,1168.87,1168.87,3339.63
1,2026-06-26,149,210,20.48,3051.52,915.46,1068.03,1068.03,3051.52
1,2026-06-27,148,252,22.36,3309.28,992.78,1158.25,1158.25,3309.28
1,2026-06-28,178,242,31.5,5607.0,1682.1,1962.45,1962.45,5607.0
1,2026-06-29,153,202,33.25,5087.25,1526.18,1780.54,1780.54,5087.25
1,2026-06-30,181,259,30.43,5507.83,1652.35,1927.74,1927.74,5507.83
1,2026-07-01,209,300,20.48,4280.32,1284.1,1498.11,1498.11,4280.32
1,2026-07-02,142,181,32.26,4580.92,1374.28,1603.32,1603.32,4580.92
1,2026-07-03,148,219,23.9,3537.2,1061.16,1238.02,1238.02,3537.2
1,2026-07-04,138,187,16.32,2252.16,675.65,788.26,788.26,2252.16
1,2026-07-05,156,280,24.95,3892.2,1167.66,1362.27,1362.27,3892.2
1,2026-07-06,183,268,15.94,2917.02,875.11,1020.96,1020.96,2917.02
1,2026-07-07,161,218,23.26,3744.86,1123.46,1310.7,1310.7,3744.86
1,2026-07-08,182,224,25.91,4715.62,1414.69,1650.47,1650.47,4715.62
1,2026-07-09,207,349,18.46,3821.22,1146.37,1337.43,1337.43,3821.22
1,2026-07-10,135,198,16.11,2174.85,652.45,761.2,761.2,2174.85
1,2026-07-11,172,231,33.12,5696.64,1708.99,1993.82,1993.82,5696.64
1,2026-07-12,160,214,28.27,4523.2,1356.96,1583.12,1583.12,4523.2
1,2026-07-13,146,238,23.39,3414.94,1024.48,1195.23,1195.23,3414.94
1,2026-07-14,149,229,30.11,4486.39,1345.92,1570.24,1570.24,4486.39
1,2026-07-15,115,168,21.81,2508.15,752.44,877.85,877.85,2508.15
1,2026-07-16,129,165,30.27,3904.83,1171.45,1366.69,1366.69,3904.83
1,2026-07-17,135,170,26.79,3616.65,1084.99,1265.83,1265.83,3616.65
1,2026-07-18,158,224,20.96,3311.68,993.5,1159.09,1159.09,3311.68
1,2026-07-19,131,165,30.06,3937.86,1181.36,1378.25,1378.25,3937.86
1,2026-07-20,111,134,23.06,2559.66,767.9,895.88,895.88,2559.66
