branch_id,department_id,department_name,date,scheduled_employees,present_employees,attendance_rate_pct,total_actual_hours,hours_utilisation_pct
1,1,Reception,2026-05-06,3,2,66.67,16.23,67.64
1,2,Kitchen,2026-05-06,3,2,66.67,15.62,65.1
1,3,Housekeeping,2026-05-06,3,2,66.67,15.83,65.95
1,1,Reception,2026-05-07,3,2,66.67,16.01,66.71
1,2,Kitchen,2026-05-07,3,2,66.67,16.14,67.24
1,3,Housekeeping,2026-05-07,3,2,66.67,16.71,69.64
1,1,Reception,2026-05-08,3,3,100.0,24.71,102.98
1,2,Kitchen,2026-05-08,3,2,66.67,14.51,60.47
1,3,Housekeeping,2026-05-08,3,3,100.0,24.13,100.53
1,1,Reception,2026-05-09,2,2,100.0,16.08,100.5
1,2,Kitchen,2026-05-09,3,2,66.67,14.77,61.54
1,3,Housekeeping,2026-05-09,2,2,100.0,14.7,91.88
1,1,Reception,2026-05-10,3,2,66.67,16.1,67.1
1,2,Kitchen,2026-05-10,3,3,100.0,23.48,97.84
1,3,Housekeeping,2026-05-10,4,3,75.0,21.73,67.9
1,1,Reception,2026-05-11,3,3,100.0,22.33,93.04
1,2,Kitchen,2026-05-11,3,3,100.0,22.89,95.38
1,3,Housekeeping,2026-05-11,4,3,75.0,22.36,69.87
1,1,Reception,2026-05-12,3,3,100.0,24.2,100.85
1,2,Kitchen,2026-05-12,4,3,75.0,24.55,76.71
1,3,Housekeeping,2026-05-12,3,2,66.67,15.3,63.75
1,1,Reception,2026-05-13,4,4,100.0,30.32,94.74
1,2,Kitchen,2026-05-13,3,3,100.0,23.8,99.18
1,3,Housekeeping,2026-05-13,3,2,66.67,14.74,61.41
1,1,Reception,2026-05-14,3,3,100.0,21.95,91.45
1,2,Kitchen,2026-05-14,4,3,75.0,24.04,75.11
1,3,Housekeeping,2026-05-14,3,2,66.67,15.6,65.01
1,1,Reception,2026-05-15,3,2,66.67,15.89,66.23
1,2,Kitchen,2026-05-15,3,2,66.67,14.96,62.33
1,3,Housekeeping,2026-05-15,3,3,100.0,23.1,96.24
1,1,Reception,2026-05-16,3,3,100.0,24.44,101.83
1,2,Kitchen,2026-05-16,3,3,100.0,23.81,99.19
1,3,Housekeeping,2026-05-16,4,4,100.0,29.57,92.39
1,1,Reception,2026-05-17,3,2,66.67,16.38,68.26
1,2,Kitchen,2026-05-17,4,4,100.0,33.18,103.68
1,3,Housekeeping,2026-05-17,3,2,66.67,15.47,64.48
1,1,Reception,2026-05-18,4,4,100.0,29.8,93.13
1,2,Kitchen,2026-05-18,4,4,100.0,28.8,90.0
1,3,Housekeeping,2026-05-18,3,3,100.0,24.37,101.55
1,1,Reception,2026-05-19,3,3,100.0,24.91,103.81
1,2,Kitchen,2026-05-19,4,4,100.0,33.22,103.82
1,3,Housekeeping,2026-05-19,4,4,100.0,29.36,91.76
1,1,Reception,2026-05-20,3,3,100.0,23.31,97.13
1,2,Kitchen,2026-05-20,4,4,100.0,29.69,92.79
1,3,Housekeeping,2026-05-20,3,2,66.67,15.77,65.71
1,1,Reception,2026-05-21,3,2,66.67,15.12,63.0
1,2,Kitchen,2026-05-21,3,3,100.0,22.33,93.03
1,3,Housekeeping,2026-05-21,4,3,75.0,23.39,73.09
1,1,Reception,2026-05-22,3,3,100.0,23.73,98.87
1,2,Kitchen,2026-05-22,3,3,100.0,22.41,93.38
1,3,Housekeeping,2026-05-22,4,4,100.0,29.77,93.03
1,1,Reception,2026-05-23,3,3,100.0,22.74,94.76
1,2,Kitchen,2026-05-23,4,3,75.0,24.56,76.74
1,3,Housekeeping,2026-05-23,4,4,100.0,32.73,102.28
1,1,Reception,2026-05-24,3,2,66.67,16.56,68.98
1,2,Kitchen,2026-05-24,4,4,100.0,30.3,94.7
1,3,Housekeeping,2026-05-24,4,4,100.0,30.69,95.91
1,1,Reception,2026-05-25,4,3,75.0,23.3,72.8
1,2,Kitchen,2026-05-25,3,3,100.0,24.87,103.64
1,3,Housekeeping,2026-05-25,3,3,100.0,22.4,93.35
1,1,Reception,2026-05-26,3,2,66.67,15.87,66.1
1,2,Kitchen,2026-05-26,3,2,66.67,16.48,68.67
1,3,Housekeeping,2026-05-26,4,3,75.0,23.84,74.5
1,1,Reception,2026-05-27,4,4,100.0,31.78,99.3
1,2,Kitchen,2026-05-27,4,4,100.0,30.78,96.19
1,3,Housekeeping,2026-05-27,4,3,75.0,23.01,71.89
1,1,Reception,2026-05-28,3,2,66.67,15.4,64.18
1,2,Kitchen,2026-05-28,3,3,100.0,24.67,102.79
1,3,Housekeeping,2026-05-28,3,2,66.67,14.74,61.43
1,1,Reception,2026-05-29,3,2,66.67,15.45,64.37
1,2,Kitchen,2026-05-29,3,3,100.0,23.1,96.23
1,3,Housekeeping,2026-05-29,4,3,75.0,22.86,71.44
1,1,Reception,2026-05-30,3,3,100.0,22.74,94.74
1,2,Kitchen,2026-05-30,4,3,75.0,24.82,77.57
1,3,Housekeeping,2026-05-30,3,2,66.67,16.64,69.35
1,1,Reception,2026-05-31,3,2,66.67,15.76,65.67
1,2,Kitchen,2026-05-31,3,2,66.67,15.62,65.07
1,3,Housekeeping,2026-05-31,3,3,100.0,24.89,103.71
1,1,Reception,2026-06-01,4,3,75.0,21.67,67.72
1,2,Kitchen,2026-06-01,3,3,100.0,23.4,97.49
1,3,Housekeeping,2026-06-01,3,3,100.0,22.46,93.57
1,1,Reception,2026-06-02,3,2,66.67,14.88,61.99
1,2,Kitchen,2026-06-02,4,3,75.0,23.93,74.78
1,3,Housekeeping,2026-06-02,3,3,100.0,22.22,92.57
1,1,Reception,2026-06-03,3,3,100.0,23.87,99.46
1,2,Kitchen,2026-06-03,3,2,66.67,16.31,67.96
1,3,Housekeeping,2026-06-03,4,4,100.0,33.17,103.66
1,1,Reception,2026-06-04,4,3,75.0,23.69,74.02
1,2,Kitchen,2026-06-04,3,3,100.0,22.36,93.17
1,3,Housekeeping,2026-06-04,3,2,66.67,15.95,66.46
1,1,Reception,2026-06-05,3,2,66.67,16.47,68.61
1,2,Kitchen,2026-06-05,3,2,66.67,15.59,64.97
1,3,Housekeeping,2026-06-05,2,1,50.0,7.75,48.43
1,1,Reception,2026-06-06,2,2,100.0,16.32,102.01
1,2,Kitchen,2026-06-06,3,3,100.0,23.99,99.96
